id;start_date;end_date;language
1;2020-06-12T16:30:32;2020-06-12T14:20:47;SPANISH
2;2020-06-11T21:20:43;2020-06-12T16:25:08;SPANISH
3;2020-06-12T12:16:02;2020-06-11T22:50:11;FRENCH
4;2020-06-12T03:33:33;2020-06-12T15:04:59;FRENCH
5;2020-06-12T13:03:51;2020-06-12T17:50:50;FRENCH
6;2020-06-12T06:56:12;2020-06-12T19:04:26;FRENCH
7;2020-06-12T08:41:32;2020-06-12T02:32:23;FRENCH
8;2020-06-12T07:37:45;2020-06-12T17:53:53;SPANISH
9;2020-06-12T06:18:54;2020-06-12T03:00:17;SPANISH
10;2020-06-12T14:30:58;2020-06-12T01:05:28;SPANISH
